VAL	WHITE-X	WHITE-Y	WHITE-Z	WHITE-LAB50-X	WHITE-LAB50-Y	WHITE-LAB50-Z	RED-X	RED-Y	RED-Z	RED-LAB50-X	RED-LAB50-Y	RED-LAB50-Z	GREEN-X	GREEN-Y	GREEN-Z	GREEN-LAB50-X	GREEN-LAB50-Y	GREEN-LAB50-Z	BLUE-X	BLUE-Y	BLUE-Z	BLUE-LAB50-X	BLUE-LAB50-Y	BLUE-LAB50-Z
214	8728.603018	11788.45878	15530.959091	552.779147	-206.569992	-165.636832	7004.167319	2995.627114	271.484818	344.263757	533.38746	323.651149	2113.289358	8830.337038	2065.993081	500.55561	-827.267114	305.457248	6137.377998	2115.820826	35070.874128	304.836881	613.454488	-950.704749
215	8796.7993	11834.539274	15828.648445	553.519293	-203.928568	-171.638251	7017.995993	3001.107042	272.494572	344.483301	533.813241	323.6613	2127.332142	8887.506819	2076.393784	501.667982	-828.969294	306.394836	6165.631608	2126.049378	35232.117401	305.353059	614.288346	-952.116017
216	8742.68257	11899.851117	15413.152421	554.56505	-213.061373	-159.652019	7043.827523	3012.30857	271.599212	344.931241	534.440669	324.760205	2133.604039	8910.806181	2083.623878	502.119958	-829.540652	306.494575	6193.128795	2136.206077	35389.929102	305.863976	615.054033	-953.480593
217	8736.951804	11920.152779	15371.763823	554.889335	-214.950067	-158.068554	7069.613603	3023.334146	273.987102	345.371062	535.092362	324.649088	2144.350168	8950.77162	2093.42906	502.893401	-830.521717	306.909053	6220.831025	2146.384715	35549.586747	306.374374	615.835216	-954.865547
218	8716.32036	11984.667244	15151.075712	555.917408	-221.150539	-150.802791	7096.891887	3034.908748	275.449883	345.831635	535.79529	324.913075	2154.531283	8991.387103	2101.379018	503.67707	-831.677799	307.517156	6249.358936	2156.888465	35713.444109	306.899385	616.63303	-956.277843
219	8745.576646	12029.366909	15257.785928	556.62756	-221.703672	-152.241165	7123.542543	3046.253096	276.504948	346.281911	536.474109	325.308226	2168.954871	9049.837953	2115.317051	504.800737	-833.385519	308.156293	6276.166871	2166.714805	35867.36561	307.388997	617.390414	-957.604199
220	8722.212617	12041.748491	15136.748686	556.823957	-224.55254	-148.881318	7148.740535	3056.674551	278.718508	346.694572	537.166269	325.223108	2175.256477	9071.784535	2122.479679	505.221392	-833.833086	308.216634	6303.144682	2176.991702	36022.157664	307.899477	618.067788	-958.900597
221	8740.102206	12108.833739	15121.748229	557.885733	-227.595676	-146.675121	7189.295045	3073.624085	279.135261	347.363728	538.246514	326.227319	2185.380061	9111.889831	2129.531702	505.988349	-834.950599	308.885776	6314.389446	2181.33887	36086.454501	308.114929	618.33617	-959.431376
222	8743.008047	12128.786492	15132.414387	558.200773	-228.70472	-146.39901	7214.897591	3084.549478	280.351675	347.793752	538.888151	326.533212	2197.099858	9153.414081	2142.262633	506.780074	-835.838254	309.07525	6359.375339	2197.404231	36344.601696	308.908676	619.689622	-961.674555
223	8754.737839	12169.055102	15146.397118	558.835536	-230.436658	-145.654504	7241.439492	3095.977815	282.393521	348.242487	539.534462	326.578649	2207.162934	9192.188127	2151.318971	507.517203	-836.854666	309.512736	6398.216978	2211.828065	36568.201486	309.61803	620.736608	-963.566093
224	8727.767326	12231.26493	14893.433996	559.813417	-236.961773	-137.604574	7252.442304	3100.877413	282.918453	348.434532	539.774572	326.723106	2216.984536	9231.981173	2157.635567	508.271552	-838.003479	310.233425	6414.402054	2217.921889	36661.109361	309.916793	621.154271	-964.341381
225	8742.423741	12272.66431	14920.295102	560.462341	-238.502899	-137.164903	7281.311353	3112.984004	283.752606	348.908197	540.529706	327.243638	2227.464902	9272.141236	2168.743611	509.030664	-839.038625	310.525173	6442.435672	2228.051051	36822.045707	310.412189	621.966095	-965.717344
226	8743.108431	12288.168438	14933.747571	560.704988	-239.490154	-137.086374	7309.039355	3124.600961	284.993259	349.361552	541.254887	327.585912	2238.371083	9313.094106	2178.631116	509.802508	-840.045204	310.953544	6468.646088	2237.799873	36972.3032	310.887568	622.664807	-966.973985
227	8736.005459	12328.070209	14844.073913	561.328533	-242.786319	-133.74214	7336.410289	3136.29683	285.760016	349.816853	541.930541	328.100007	2248.153389	9352.671048	2185.967841	510.546272	-841.176263	311.568065	6496.624437	2248.263635	37133.065758	311.396276	623.397022	-968.312103
228	8729.1699	12391.822478	14703.342429	562.322004	-247.654397	-128.449608	7363.361095	3147.913241	287.012022	350.267941	542.577453	328.436433	2258.530044	9392.665994	2194.626088	511.295764	-842.212515	312.074087	6523.263752	2258.208517	37285.755938	311.878296	624.096487	-969.579088
229	8751.523184	12407.283944	14826.282717	562.562432	-246.775958	-131.163445	7391.076198	3159.466554	288.22298	350.71548	543.306564	328.782428	2269.205522	9432.721111	2205.87849	512.044253	-843.18826	312.345905	6563.273965	2272.879727	37515.378323	312.586821	625.199383	-971.501887
230	8746.064913	12448.604601	14762.500986	563.203993	-250.008556	-128.436468	7418.338198	3170.854879	289.871223	351.155562	544.017888	328.96378	2283.864691	9491.307305	2218.4373	513.135217	-844.811855	313.09401	6577.323549	2278.3016	37595.830122	312.847891	625.529762	-972.150418
231	8745.520407	12491.772413	14720.151758	563.872719	-252.937619	-126.204723	7455.812936	3187.221003	291.40491	351.78616	544.874691	329.515702	2289.45835	9512.054551	2223.256307	513.520486	-845.301143	313.324703	6605.432953	2288.747346	37758.091785	313.349701	626.272998	-973.496318
232	8716.321283	12530.438559	14521.868774	564.470401	-258.01681	-120.095625	7464.172113	3190.642422	292.989406	351.917716	545.103424	329.191444	2299.660076	9551.709245	2231.625282	514.255303	-846.337048	313.840164	6633.381461	2298.788396	37917.354889	313.830633	627.08143	-974.831204
233	8716.869986	12594.044378	14415.006251	565.45092	-262.196098	-115.648819	7500.222075	3205.985278	293.579276	352.506509	545.990664	330.001957	2314.790902	9610.991197	2246.703762	515.350038	-847.906078	314.378441	6673.404361	2313.514773	38147.61121	314.533449	628.164241	-976.737503
234	8713.812341	12611.281926	14406.551797	565.716078	-263.601434	-114.973009	7509.337619	3209.695108	295.24433	352.648595	546.242565	329.670742	2320.75855	9632.489712	2250.869171	515.745929	-848.374048	314.689363	6686.89073	2318.985418	38225.80122	314.793775	628.424108	-977.344632
235	8719.007254	12652.626713	14385.534634	566.351083	-265.89272	-113.334271	7548.947118	3226.60087	296.192001	353.294697	547.205318	330.457737	2330.574853	9671.469932	2257.561267	516.462244	-849.429054	315.32826	6713.888774	2329.018819	38380.792483	315.270163	629.131661	-978.612204
236	8718.068099	12689.931371	14321.325874	566.922851	-268.437818	-110.683526	7574.813554	3237.514265	296.554418	353.710586	547.852991	331.049927	2345.750288	9731.927161	2272.566117	517.56943	-851.070394	315.904848	6754.703958	2343.674452	38614.211171	315.963563	630.302807	-980.552056
237	8703.807413	12730.518143	14183.823178	567.543652	-272.337991	-106.03091	7584.430906	3241.686486	296.60849	353.869335	548.074636	331.305011	2351.595177	9751.631021	2277.765314	517.929286	-851.419178	316.064996	6769.218098	2349.413257	38698.196776	316.234295	630.61112	-981.210313
238	8699.471405	12770.51564	14106.118426	568.154151	-275.341969	-102.943687	7610.852706	3252.418843	298.84794	354.277065	548.802044	331.238799	2361.441384	9791.163972	2284.867413	518.649827	-852.504042	316.679677	6795.523248	2359.386731	38849.405406	316.703753	631.255964	-982.422332
239	8691.759309	12837.532122	13997.243844	569.1742	-280.401609	-98.321575	7636.61493	3263.288074	301.028339	354.689081	549.443413	331.203943	2371.350062	9830.371796	2291.800167	519.362528	-853.547958	317.297062	6835.751025	2374.231028	39080.847988	317.40004	632.322109	-984.305739
240	8681.979863	12846.444928	13970.743872	569.309593	-281.826333	-97.388943	7662.220144	3274.639998	301.547676	355.118419	549.990006	331.76721	2382.702379	9869.944241	2303.443772	520.079939	-854.323625	317.509875	6849.000079	2379.625923	39157.569167	317.652374	632.570565	-984.89028
241	8672.738469	12883.716076	13895.254518	569.875096	-285.05928	-94.41731	7702.348278	3291.486079	302.903732	355.753726	550.997737	332.401428	2397.595766	9929.658031	2317.740216	521.158872	-855.946098	318.117384	6858.062392	2383.199613	39209.135459	317.819316	632.763888	-985.287
242	8659.432283	12948.494964	13726.757875	570.855375	-290.430918	-88.244353	7712.478616	3295.810634	303.686686	355.916466	551.239923	332.41639	2408.503139	9969.431841	2329.817451	521.875123	-856.823664	318.298046	6902.848606	2399.775518	39466.607677	318.591468	633.935444	-987.364738
243	8671.246847	12963.266044	13811.734183	571.078443	-290.374563	-90.125088	7736.689386	3306.109249	304.685225	356.303446	551.823816	332.745497	2419.435398	10008.901027	2340.598512	522.584008	-857.671121	318.582226	6929.62767	2409.72914	39620.709027	319.053428	634.625513	-988.60153
244	8637.59923	13024.207583	13518.679153	571.996976	-297.235027	-80.689266	7762.748294	3316.743475	306.706904	356.702195	552.52364	332.750718	2424.463305	10028.606549	2342.890584	522.937231	-858.180337	318.992175	6956.880346	2419.900537	39777.409442	319.524183	635.318011	-989.852052
245	8660.634463	13037.644428	13669.798429	572.199115	-296.119288	-84.403872	7788.000942	3327.405825	308.859892	357.101144	553.142613	332.715258	2434.688393	10068.061524	2352.15707	523.643076	-859.166379	319.405717	6983.339549	2429.973229	39928.998207	319.989072	635.949762	-991.040273
246	8645.410201	13078.427574	13551.097172	572.811793	-300.072998	-80.158568	7811.386921	3337.208122	310.048521	357.467161	553.726162	332.948438	2444.959426	10107.521375	2360.059493	524.347167	-860.141405	319.936167	7010.566039	2440.074788	40085.595753	320.454005	636.650813	-992.288882
247	8639.725741	13115.244253	13459.712658	573.363791	-302.94289	-76.739053	7831.845081	3346.109944	310.539836	357.798934	554.183206	333.356294	2460.786883	10165.964178	2374.987735	525.386615	-861.458868	320.441293	7018.416635	2443.500741	40130.90686	320.611395	636.751094	-992.609747
248	8632.433077	13154.796164	13390.719193	573.955648	-306.123701	-73.848063	7868.302594	3361.525142	311.694139	358.372073	555.067561	333.95945	2466.458821	10185.361386	2380.229886	525.730728	-861.811949	320.583923	7045.387521	2453.638025	40286.298109	321.07625	637.418199	-993.835902
249	8627.077749	13192.627214	13318.869173	574.520646	-309.021678	-70.919095	7874.523763	3364.019598	313.0294	358.464652	555.239941	333.674879	2481.100913	10244.979298	2393.516223	526.785642	-863.449465	321.26347	7105.722563	2475.33116	40632.218148	322.066724	639.099001	-996.623287
250	8578.376876	13255.869602	12971.180145	575.462748	-317.298516	-59.734481	7896.013296	3372.929572	314.323938	358.794964	555.787737	333.814944	2487.011551	10264.265955	2399.636353	527.126035	-863.745418	321.326986	7117.726614	2480.332708	40701.510489	322.294265	639.298008	-997.128332
251	8599.830625	13266.290493	13120.116158	575.617697	-316.10718	-63.583238	7933.663158	3388.958363	315.615538	359.387725	556.67831	334.409655	2497.415129	10303.604231	2408.783432	527.819002	-864.675262	321.741194	7144.034537	2490.402912	40853.053493	322.751475	639.908255	-998.299026
252	8579.443179	13301.584976	12964.043981	576.141892	-320.133378	-58.365544	7941.682983	3392.292066	316.470658	359.510773	556.880463	334.339556	2507.628954	10342.434389	2416.882657	528.501291	-865.602147	322.228056	7171.628518	2500.557816	41011.326511	323.211283	640.62667	-999.547073
253	8538.203851	13368.098054	12676.355995	577.127231	-327.962829	-48.623228	7965.497893	3402.112384	317.201069	359.872779	557.492461	334.723016	2518.002481	10381.208713	2426.135766	529.180897	-866.491567	322.613944	7197.86216	2510.594232	41162.895729	323.664505	641.233938	-1000.715119
254	8558.126201	13379.059836	12795.434238	577.289307	-326.92942	-51.687701	8004.57561	3418.682528	319.2221	360.482026	558.421653	335.109388	2528.914635	10419.856152	2435.470393	529.856597	-867.26427	322.988196	7224.284451	2520.65247	41314.40139	324.117501	641.854307	-1001.877958
255	8554.33819	13416.809619	12732.373432	577.846783	-329.66145	-48.95828	8012.038848	3421.569238	319.017166	360.587962	558.642712	335.359244	2543.511545	10479.592334	2447.627026	530.897727	-868.89915	323.756467	7250.418564	2530.594041	41464.80971	324.564061	642.468197	-1003.033121
